EXPENSE_ID,TITLE,AMOUNT,LABEL,COMMENTS,EXPENSE_DATE,CREATED_AT,ATTACHMENT,TYPE,CATEGORY,EXPENSE_NUMBER,UPDATED_AT,STATUS,EXPECTED_PAYMENT_DATE
300,Celui Dépense,90.35,Frais matière,,2025-07-22,2025-07-24,,subscription,Communication,EXP-2025-00300,2025-07-24,paid,2025-09-04
301,Rose Dépense,28.13,Frais manger,,2025-07-22,2025-07-23,,other,Transport,EXP-2025-00301,2025-07-23,unpaid,2025-07-30
302,Route Dépense,34.88,Frais usage,Hauteur violence battre.,2025-07-22,2025-07-23,,subscription,Marketing,EXP-2025-00302,2025-07-23,paid,2025-08-15
303,Attaquer Achat,99.27,Remboursement Maurice,,2025-07-22,2025-07-24,,subscription,Logiciels,EXP-2025-00303,2025-08-17,unpaid,2025-08-24
304,Sujet Dépense,88.97,Note Lemonnierdan,Mariage musique mériter préférer étage mourir extraordinaire.,2025-07-22,2025-07-22,,professional,Communication,EXP-2025-00304,2025-08-21,paid,2025-08-14
305,Glace Dépense,53.69,Remboursement Vidal,,2025-07-22,2025-07-22,,maintenance,Communication,EXP-2025-00305,2025-07-22,paid,2025-09-10
306,Vague Achat,59.97,Frais classe,,2025-07-22,2025-07-23,,lodging,Hébergement,EXP-2025-00306,2025-07-23,paid,2025-08-16
307,Non Achat,151.73,Frais chercher,Recherche forêt leur.,2025-07-22,2025-07-23,,travel,R&D,EXP-2025-00307,2025-07-23,paid,2025-09-03
308,Vaste Achat,34.01,Note Guérin,,2025-07-22,2025-07-22,,food,Frais de représentation,EXP-2025-00308,2025-07-22,paid,2025-08-26
309,Beaucoup Facture,84.58,Note Le Gall,Vieil voiture oser rapport jamais vieux ruine.,2025-07-22,2025-07-24,,professional,Assurances,EXP-2025-00309,2025-08-11,paid,2025-08-27
310,Vingt Dépense,46.44,Note Sainte Aiméeboeuf,Mener durer cheveu intérieur jouer avancer rester.,2025-07-22,2025-07-23,,food,Services publics,EXP-2025-00310,2025-07-23,unpaid,2025-08-23
311,Espoir Achat,45.87,Facture Coste Roy S.A.S.,,2025-07-22,2025-07-23,,lodging,Maintenance,EXP-2025-00311,2025-07-26,unpaid,2025-09-19
312,Trembler Achat,131.5,Note Sainte RogerVille,Mariage prononcer détail combien.,2025-07-22,2025-07-24,,subscription,Marketing,EXP-2025-00312,2025-08-03,paid,2025-08-14
313,Ton Dépense,105.67,Note Dupont-sur-Mer,,2025-07-22,2025-07-22,,professional,Frais de représentation,EXP-2025-00313,2025-07-24,paid,2025-08-14
314,Fille Achat,104.67,Remboursement Renault,,2025-07-22,2025-07-23,,subscription,Formation,EXP-2025-00314,2025-07-23,paid,2025-09-05
315,Étoile Frais,155.15,Remboursement Huet,,2025-07-22,2025-07-22,,professional,Fournitures bureau,EXP-2025-00315,2025-07-22,paid,2025-08-02
316,Attention Dépense,55.52,Facture Gérard Delmas S.A.R.L.,,2025-07-22,2025-07-23,,food,Loyer,EXP-2025-00316,2025-07-23,paid,2025-08-01
317,Temps Facture,94.21,Facture Leconte,Papier révolution réveiller.,2025-07-22,2025-07-22,,professional,Frais de représentation,EXP-2025-00317,2025-07-22,unpaid,2025-08-03
318,Professeur Achat,42.6,Note Lacombe-sur-Meunier,,2025-07-22,2025-07-23,,travel,Matériel informatique,EXP-2025-00318,2025-07-23,unpaid,2025-07-28
319,Dent Frais,70.76,Achat contre,Déclarer amuser ouvrir noire regarder ouvert animer.,2025-07-22,2025-07-23,,maintenance,Marketing,EXP-2025-00319,2025-07-23,unpaid,2025-07-27
320,Serrer Dépense,49.2,Frais désert,Travailler éteindre regretter notre droite.,2025-07-22,2025-07-23,,marketing,Frais professionnels,EXP-2025-00320,2025-07-23,paid,2025-08-27
321,Cou Dépense,59.0,Remboursement Goncalves,Marché courage plein faute position.,2025-07-22,2025-07-23,,software,Matériel informatique,EXP-2025-00321,2025-07-23,paid,2025-08-31
322,Soutenir Dépense,87.89,Frais employer,,2025-07-22,2025-07-24,,research,Logiciels,EXP-2025-00322,2025-07-24,paid,2025-08-19
323,Impression Achat,28.37,Remboursement Lemonnier,,2025-07-22,2025-07-24,,equipment,Frais professionnels,EXP-2025-00323,2025-07-24,paid,2025-08-16
324,Larme Facture,291.17,Remboursement Étienne,Pensée davantage défaut taille.,2025-07-22,2025-07-23,,marketing,Restauration,EXP-2025-00324,2025-07-23,paid,2025-08-16
325,Lorsque Dépense,24.41,Achat comment,Reconnaître empêcher réclamer as prouver propre.,2025-07-22,2025-07-22,,office,Frais professionnels,EXP-2025-00325,2025-07-22,paid,2025-07-27
326,Brusquement Achat,20.67,Note Olivier-les-Bains,,2025-07-22,2025-07-24,,maintenance,Hébergement,EXP-2025-00326,2025-08-22,paid,2025-08-14
327,Capable Frais,137.89,Achat as,Fond violence voisin pousser patron glace abandonner.,2025-07-22,2025-07-23,,professional,Formation,EXP-2025-00327,2025-08-21,paid,2025-09-01
328,Ailleurs Achat,102.86,Note Pasquier-sur-Jacquet,Enfance grave trop muet par réclamer mouvement.,2025-07-22,2025-07-23,,equipment,Services publics,EXP-2025-00328,2025-07-27,paid,2025-08-01
329,Casser Facture,89.95,Facture Blin,,2025-07-22,2025-07-22,,travel,Restauration,EXP-2025-00329,2025-07-22,paid,2025-07-30
330,Horizon Dépense,90.26,Facture Tessier,Oeuvre sérieux quelqu'un continuer porte cela.,2025-07-22,2025-07-24,,software,Frais professionnels,EXP-2025-00330,2025-08-10,paid,2025-08-13
331,Établir Facture,54.07,Remboursement Blot,Salle peu fermer en.,2025-07-22,2025-07-22,,professional,Restauration,EXP-2025-00331,2025-07-22,unpaid,2025-07-26
332,Bouche Achat,26.63,Frais inviter,Gauche fenêtre train interroger cheveu neuf arrière affaire.,2025-07-22,2025-07-22,,other,Maintenance,EXP-2025-00332,2025-07-22,paid,2025-08-17
333,Pas Dépense,58.01,Achat quartier,,2025-07-22,2025-07-24,,travel,Fournitures bureau,EXP-2025-00333,2025-07-24,paid,2025-09-15
334,Grandir Facture,31.76,Frais tomber,,2025-07-22,2025-07-23,,marketing,Loyer,EXP-2025-00334,2025-08-11,paid,2025-09-09
335,Colline Achat,119.12,Frais ami,,2025-07-22,2025-07-23,,maintenance,Communication,EXP-2025-00335,2025-07-23,paid,2025-08-07
336,Figure Facture,48.54,Remboursement Perret,Pièce paix large.,2025-07-22,2025-07-24,,food,Loyer,EXP-2025-00336,2025-07-24,unpaid,2025-09-10
337,Son Achat,28.21,Remboursement Riou,Vers rare accepter garder.,2025-07-22,2025-07-24,,maintenance,Services publics,EXP-2025-00337,2025-08-04,paid,2025-08-21
338,Secrétaire Facture,42.22,Note Hernandezdan,,2025-07-22,2025-07-24,,software,Logiciels,EXP-2025-00338,2025-07-24,paid,2025-08-05
339,Rond Facture,75.97,Frais ordre,Occasion encore couper.,2025-07-22,2025-07-22,,food,Déplacements,EXP-2025-00339,2025-07-30,paid,2025-07-25
340,Volonté Achat,34.78,Service défaut,,2025-07-22,2025-07-23,,travel,Assurances,EXP-2025-00340,2025-07-23,unpaid,2025-08-06
341,Ça Facture,28.28,Remboursement Leduc,Déclarer centre remplir témoin fauteuil.,2025-07-22,2025-07-23,,software,Formation,EXP-2025-00341,2025-07-23,paid,2025-09-10
342,Toujours Dépense,66.35,Service eh,,2025-07-22,2025-07-24,,other,Frais professionnels,EXP-2025-00342,2025-07-24,paid,2025-09-12
343,Action Dépense,66.42,Remboursement Mendès,,2025-07-22,2025-07-24,,equipment,Assurances,EXP-2025-00343,2025-07-24,unpaid,2025-08-07
344,Poète Achat,36.4,Service faim,,2025-07-22,2025-07-23,,marketing,Frais bancaires,EXP-2025-00344,2025-08-07,paid,2025-07-27
345,Essuyer Achat,37.46,Note Brunel,Mille bon charge entendre herbe lutter compagnie plein.,2025-07-22,2025-07-22,,software,Marketing,EXP-2025-00345,2025-08-08,paid,2025-08-22
346,Trouver Facture,65.74,Service front,Charger elle âgé devoir.,2025-07-22,2025-07-24,,other,Communication,EXP-2025-00346,2025-07-24,unpaid,2025-09-08
347,Couche Frais,17.14,Frais divers,Action réel bruit pas exiger ceci.,2025-07-22,2025-07-23,,subscription,Abonnements,EXP-2025-00347,2025-07-23,paid,2025-09-17
348,Espace Dépense,17.71,Facture Allard SARL,,2025-07-22,2025-07-22,,office,Marketing,EXP-2025-00348,2025-08-01,paid,2025-08-18
349,Réserver Frais,30.73,Frais doux,,2025-07-22,2025-07-23,,other,Transport,EXP-2025-00349,2025-07-23,paid,2025-08-29
350,Profondément Frais,46.03,Remboursement Bernier,,2025-07-22,2025-07-22,,professional,Fournitures bureau,EXP-2025-00350,2025-07-22,paid,2025-09-02
351,Soumettre Frais,70.02,Achat fonction,Titre voici entretenir posséder image grâce.,2025-07-22,2025-07-24,,travel,Loyer,EXP-2025-00351,2025-08-02,paid,2025-08-15
352,Résister Dépense,177.73,Remboursement De Sousa,Oser rang votre même erreur échapper.,2025-07-22,2025-07-23,,other,Fournitures bureau,EXP-2025-00352,2025-07-23,paid,2025-07-26
353,Permettre Dépense,108.43,Achat répandre,,2025-07-22,2025-07-24,,professional,Formation,EXP-2025-00353,2025-08-02,unpaid,2025-08-17
354,Auprès Frais,48.04,Remboursement Hoarau,Avec jouer pluie commun rang troubler gens.,2025-07-22,2025-07-24,,software,Assurances,EXP-2025-00354,2025-07-24,paid,2025-07-25
355,Énorme Facture,53.77,Note Mercier,Fête léger mort convenir.,2025-07-22,2025-07-24,,maintenance,Matériel informatique,EXP-2025-00355,2025-07-24,paid,2025-08-25
356,Auprès Frais,24.48,Note Saint Auguste,Mois âge alors beaux temps seigneur soulever.,2025-07-22,2025-07-22,,software,Transport,EXP-2025-00356,2025-07-22,paid,2025-07-23
357,Étendue Frais,53.8,Frais préparer,,2025-07-22,2025-07-23,,food,Transport,EXP-2025-00357,2025-07-23,paid,2025-08-06
358,Poids Dépense,43.34,Remboursement Guérin,Droite queue art flamme suite figure.,2025-07-22,2025-07-23,,other,Assurances,EXP-2025-00358,2025-07-23,paid,2025-09-07
359,Côté Facture,70.68,Achat mine,,2025-07-22,2025-07-23,,software,Frais bancaires,EXP-2025-00359,2025-07-23,paid,2025-08-22
360,Conseil Frais,28.17,Service figurer,Réponse aucun embrasser face.,2025-07-22,2025-07-24,,lodging,Restauration,EXP-2025-00360,2025-07-24,unpaid,2025-07-27
361,Remplir Frais,82.72,Service que,Doigt éternel frère nu révolution paraître.,2025-07-22,2025-07-23,,office,Transport,EXP-2025-00361,2025-07-23,paid,2025-07-25
362,Esprit Facture,186.08,Remboursement Breton,Vêtir penser gris véritable choisir.,2025-07-22,2025-07-22,,professional,Frais bancaires,EXP-2025-00362,2025-07-22,unpaid,2025-08-11
363,Possible Facture,50.05,Remboursement David,Demander forcer sang apprendre beaucoup se patron.,2025-07-22,2025-07-22,,research,Maintenance,EXP-2025-00363,2025-08-07,paid,2025-07-23
364,Ailleurs Achat,75.29,Achat amour,Espoir rayon quartier nerveux doute visage.,2025-07-22,2025-07-23,,professional,Services publics,EXP-2025-00364,2025-07-23,paid,2025-08-07
365,Fer Facture,94.83,Achat soin,Résoudre haut précéder soulever.,2025-07-22,2025-07-24,,research,Transport,EXP-2025-00365,2025-07-24,paid,2025-08-20
366,Tête Achat,39.61,Service chercher,Temps prix vrai vaincre apprendre parti or habitant.,2025-07-22,2025-07-24,,professional,Restauration,EXP-2025-00366,2025-07-24,paid,2025-09-11
367,Entrer Dépense,65.32,Facture Guillon et Fils,Tempête moment ce tourner.,2025-07-22,2025-07-22,,office,Frais bancaires,EXP-2025-00367,2025-08-12,paid,2025-08-07
368,Étouffer Frais,55.15,Note Klein,,2025-07-22,2025-07-23,,equipment,Frais professionnels,EXP-2025-00368,2025-07-23,paid,2025-09-01
369,Discours Dépense,59.04,Service monde,Neuf donner tempête résoudre sorte.,2025-07-22,2025-07-23,,other,Logiciels,EXP-2025-00369,2025-08-06,unpaid,2025-07-26
370,Présence Dépense,29.42,Frais mouvement,,2025-07-22,2025-07-24,,subscription,R&D,EXP-2025-00370,2025-07-24,paid,2025-07-28
371,Source Frais,55.68,Achat siège,,2025-07-22,2025-07-23,,professional,Assurances,EXP-2025-00371,2025-07-26,unpaid,2025-07-29
372,Note Frais,81.32,Remboursement Bonnet,Pousser manier colon chemin.,2025-07-22,2025-07-22,,research,Abonnements,EXP-2025-00372,2025-07-22,paid,2025-08-13
373,Route Facture,174.32,Achat police,,2025-07-22,2025-07-23,,research,Frais de représentation,EXP-2025-00373,2025-07-23,paid,2025-08-22
374,Mentir Facture,117.62,Remboursement Potier,,2025-07-22,2025-07-22,,professional,Frais de représentation,EXP-2025-00374,2025-07-27,paid,2025-08-04
375,Paquet Achat,305.68,Service mourir,Avouer étaler autant.,2025-07-22,2025-07-24,,software,Frais de représentation,EXP-2025-00375,2025-08-15,paid,2025-09-16
376,Oncle Achat,29.55,Remboursement Perrot,Auprès respecter soin libre parfois complet.,2025-07-22,2025-07-24,,lodging,Frais de représentation,EXP-2025-00376,2025-07-24,paid,2025-08-08
377,Fin Facture,109.71,Remboursement Renault,,2025-07-22,2025-07-24,,software,Frais bancaires,EXP-2025-00377,2025-07-24,paid,2025-09-14
378,Prouver Dépense,63.22,Achat amour,Disparaître fer te pont vendre.,2025-07-22,2025-07-23,,software,Services publics,EXP-2025-00378,2025-07-23,paid,2025-08-22
379,Suivre Achat,314.77,Achat faveur,Cesser victime ombre vin.,2025-07-22,2025-07-24,,maintenance,Assurances,EXP-2025-00379,2025-07-24,paid,2025-08-24
380,Public Frais,28.6,Remboursement Mace,Siège poussière beaucoup danser porter neuf goutte installer.,2025-07-22,2025-07-22,,research,Hébergement,EXP-2025-00380,2025-07-22,paid,2025-08-04
381,Prière Dépense,27.89,Facture Pruvost et Fils,Cesser tomber dame un.,2025-07-22,2025-07-24,,subscription,Services publics,EXP-2025-00381,2025-08-06,unpaid,2025-08-14
382,Différent Dépense,33.8,Note Saint Agnès-la-Forêt,Devoir paquet parce que.,2025-07-22,2025-07-23,,marketing,Transport,EXP-2025-00382,2025-07-23,unpaid,2025-08-13
383,Quinze Dépense,9.98,Remboursement Durand,,2025-07-22,2025-07-24,,lodging,Fournitures bureau,EXP-2025-00383,2025-07-24,paid,2025-08-20
384,Haute Frais,35.85,Achat fixer,Tourner science pied moins.,2025-07-22,2025-07-24,,software,Transport,EXP-2025-00384,2025-07-24,paid,2025-09-07
385,Passion Facture,29.75,Facture Garnier Bernard S.A.R.L.,Vent malade garder douze herbe.,2025-07-22,2025-07-22,,equipment,Frais de représentation,EXP-2025-00385,2025-07-22,paid,2025-09-13
386,Accorder Facture,61.58,Facture Rossi S.A.S.,Queue membre chemin morceau roman aspect camarade commun.,2025-07-22,2025-07-24,,travel,Fournitures bureau,EXP-2025-00386,2025-08-10,paid,2025-09-10
387,Âme Facture,71.77,Frais ce,,2025-07-22,2025-07-22,,lodging,Transport,EXP-2025-00387,2025-07-22,unpaid,2025-09-11
388,Pencher Frais,244.92,Note Sainte Claudine,,2025-07-22,2025-07-22,,professional,Logiciels,EXP-2025-00388,2025-07-22,paid,2025-09-11
389,Justice Frais,116.79,Facture Lemaître,,2025-07-22,2025-07-23,,travel,R&D,EXP-2025-00389,2025-07-23,paid,2025-08-15
390,Creuser Achat,34.41,Achat papier,Pluie siège tourner dieu creuser.,2025-07-22,2025-07-23,,food,Formation,EXP-2025-00390,2025-07-23,paid,2025-07-23
391,Vingt Dépense,26.61,Facture Maury,Pensée camarade fatigue condition.,2025-07-22,2025-07-24,,office,Services publics,EXP-2025-00391,2025-08-09,paid,2025-08-25
392,Autre Achat,80.93,Frais animal,Gagner soldat par foule bonheur.,2025-07-22,2025-07-24,,other,Fournitures bureau,EXP-2025-00392,2025-07-24,paid,2025-09-08
393,Complet Dépense,18.99,Remboursement Morin,,2025-07-22,2025-07-23,,food,Déplacements,EXP-2025-00393,2025-08-19,paid,2025-08-04
394,Bande Facture,236.32,Frais pitié,,2025-07-22,2025-07-22,,equipment,Loyer,EXP-2025-00394,2025-07-22,unpaid,2025-08-15
395,Classe Dépense,140.27,Achat attaquer,Autant décrire genou enfant inquiéter.,2025-07-22,2025-07-23,,software,Frais bancaires,EXP-2025-00395,2025-07-23,paid,2025-09-18
396,Tuer Achat,37.51,Remboursement Vallée,Retourner âme trente étendre pourquoi casser relation pouvoir.,2025-07-22,2025-07-23,,office,Assurances,EXP-2025-00396,2025-08-07,paid,2025-07-24
397,Tour Achat,13.87,Note Saint Jérôme,Blanc content envelopper machine.,2025-07-22,2025-07-23,,office,Matériel informatique,EXP-2025-00397,2025-07-23,unpaid,2025-08-25
398,Pénétrer Achat,161.27,Achat je,,2025-07-22,2025-07-24,,other,Hébergement,EXP-2025-00398,2025-07-24,paid,2025-09-07
399,Entier Dépense,49.82,Achat titre,Désormais promettre situation mémoire calme général.,2025-07-22,2025-07-22,,office,Transport,EXP-2025-00399,2025-07-22,paid,2025-08-10
400,Divers Dépense,146.97,Note Saint Laurent,Je rang animer autant au marquer.,2025-07-22,2025-07-22,,software,Loyer,EXP-2025-00400,2025-07-22,paid,2025-08-08
401,Pas Facture,15.25,Frais pourquoi,,2025-07-22,2025-07-23,,software,Abonnements,EXP-2025-00401,2025-07-23,paid,2025-09-16
402,Victime Frais,33.8,Frais gouvernement,,2025-07-22,2025-07-22,,lodging,Loyer,EXP-2025-00402,2025-07-22,unpaid,2025-07-27
403,Attendre Frais,54.83,Facture Vidal,,2025-07-22,2025-07-24,,lodging,Services publics,EXP-2025-00403,2025-07-24,paid,2025-08-20
404,Fil Dépense,56.69,Frais puis,Étendue répandre route monde dos dessus.,2025-07-22,2025-07-24,,office,R&D,EXP-2025-00404,2025-07-24,paid,2025-09-15
405,Tracer Frais,38.09,Frais instinct,Réveiller exposer époque remplacer sommeil contenir.,2025-07-22,2025-07-24,,software,Frais de représentation,EXP-2025-00405,2025-07-24,paid,2025-09-16
406,Fils Dépense,89.86,Service continuer,,2025-07-22,2025-07-24,,travel,Frais professionnels,EXP-2025-00406,2025-08-08,unpaid,2025-08-07
407,Rôle Facture,23.24,Remboursement Letellier,,2025-07-22,2025-07-23,,maintenance,Marketing,EXP-2025-00407,2025-07-23,paid,2025-09-03
408,Auprès Frais,48.72,Service confondre,,2025-07-22,2025-07-24,,subscription,R&D,EXP-2025-00408,2025-07-24,paid,2025-08-21
409,Avec Facture,60.11,Facture Pichon S.A.R.L.,Monde toucher courage écrire.,2025-07-22,2025-07-22,,marketing,Hébergement,EXP-2025-00409,2025-07-22,paid,2025-09-12
410,Chair Achat,82.4,Facture Martinez,Au rang musique oiseau rester produire paupière regard.,2025-07-22,2025-07-22,,professional,Logiciels,EXP-2025-00410,2025-07-22,paid,2025-08-31
411,Nature Achat,96.48,Note Georges-sur-Maillard,Chaud train puissant jour mien autrefois nez.,2025-07-22,2025-07-24,,lodging,Transport,EXP-2025-00411,2025-07-24,unpaid,2025-09-14
412,Plutôt Achat,22.2,Frais sentiment,Tu élever peu toute contenter visage lorsque.,2025-07-22,2025-07-24,,other,R&D,EXP-2025-00412,2025-07-24,paid,2025-09-10
413,Docteur Facture,16.0,Achat détail,,2025-07-22,2025-07-24,,research,Maintenance,EXP-2025-00413,2025-07-24,paid,2025-08-06
414,Mari Dépense,151.74,Achat enfermer,,2025-07-22,2025-07-24,,office,Hébergement,EXP-2025-00414,2025-08-03,unpaid,2025-09-07
415,Décrire Dépense,71.23,Service tôt,Papa angoisse éclairer gros.,2025-07-22,2025-07-24,,subscription,Assurances,EXP-2025-00415,2025-07-24,paid,2025-08-03
416,Fuir Frais,30.0,Facture Lucas,Lourd paquet odeur bonheur.,2025-07-22,2025-07-23,,office,Formation,EXP-2025-00416,2025-07-23,paid,2025-08-18
417,Séparer Achat,188.84,Facture Rocher,Autre puissant clef entier.,2025-07-22,2025-07-22,,food,Logiciels,EXP-2025-00417,2025-07-22,paid,2025-08-09
418,Pensée Dépense,59.89,Achat dire,Asseoir sombre former désormais coeur.,2025-07-22,2025-07-22,,travel,Assurances,EXP-2025-00418,2025-07-22,paid,2025-07-23
419,Dominer Frais,140.25,Achat rompre,,2025-07-22,2025-07-22,,professional,Frais bancaires,EXP-2025-00419,2025-07-22,paid,2025-08-25
420,Sommet Dépense,57.63,Service celui,,2025-07-22,2025-07-24,,research,Marketing,EXP-2025-00420,2025-07-24,paid,2025-08-22
421,Voilà Facture,283.89,Facture Valentin,Compagnie fidèle bien docteur habiller même.,2025-07-22,2025-07-23,,software,Hébergement,EXP-2025-00421,2025-07-23,paid,2025-08-31
422,Tout Frais,222.35,Facture Dupont,Voisin tempête vue chambre.,2025-07-22,2025-07-22,,marketing,Maintenance,EXP-2025-00422,2025-08-11,paid,2025-08-11
423,Traîner Frais,44.74,Frais côté,,2025-07-22,2025-07-24,,marketing,Maintenance,EXP-2025-00423,2025-08-20,unpaid,2025-08-17
424,Chien Facture,118.78,Service proposer,,2025-07-22,2025-07-22,,research,Frais de représentation,EXP-2025-00424,2025-07-22,unpaid,2025-09-18
425,Cercle Facture,91.5,Note GuyotVille,,2025-07-22,2025-07-22,,travel,Frais bancaires,EXP-2025-00425,2025-08-16,unpaid,2025-08-04
426,Condamner Frais,163.19,Facture Blanchet,,2025-07-22,2025-07-22,,maintenance,Transport,EXP-2025-00426,2025-08-05,paid,2025-07-24
427,Chemise Facture,25.23,Facture Guillet,,2025-07-22,2025-07-24,,subscription,Hébergement,EXP-2025-00427,2025-07-24,paid,2025-07-24
428,Quand Achat,94.52,Facture Berthelot,,2025-07-22,2025-07-23,,software,Assurances,EXP-2025-00428,2025-07-23,paid,2025-09-02
429,Se Frais,127.32,Frais président,,2025-07-22,2025-07-23,,other,Logiciels,EXP-2025-00429,2025-07-23,unpaid,2025-08-26
430,Noir Dépense,13.37,Service voix,Auprès accomplir puis profondément malade cheval.,2025-07-22,2025-07-24,,research,Frais bancaires,EXP-2025-00430,2025-07-24,paid,2025-09-19
431,Herbe Dépense,21.19,Frais malgré,,2025-07-22,2025-07-24,,maintenance,Logiciels,EXP-2025-00431,2025-07-24,paid,2025-08-14
432,Dangereux Dépense,10.68,Facture Peltier,,2025-07-22,2025-07-22,,other,Transport,EXP-2025-00432,2025-08-02,paid,2025-08-18
433,Apparaître Dépense,44.01,Achat troisième,Dent annoncer ton autre que.,2025-07-22,2025-07-24,,software,Matériel informatique,EXP-2025-00433,2025-07-24,unpaid,2025-09-18
434,Coucher Achat,96.93,Frais poète,,2025-07-22,2025-07-23,,travel,Services publics,EXP-2025-00434,2025-07-23,paid,2025-08-12
435,Oh Frais,181.61,Remboursement Rolland,Foule fond rencontrer.,2025-07-22,2025-07-24,,other,Déplacements,EXP-2025-00435,2025-07-24,paid,2025-08-03
436,Silence Frais,57.93,Note Meunier-la-Forêt,Objet arrivée personne.,2025-07-22,2025-07-23,,office,Frais de représentation,EXP-2025-00436,2025-07-23,paid,2025-08-31
437,Ah Dépense,200.92,Achat sauver,Vendre passer secours.,2025-07-22,2025-07-23,,office,Abonnements,EXP-2025-00437,2025-07-24,paid,2025-08-16
438,Observer Frais,18.1,Achat sourire,,2025-07-22,2025-07-22,,lodging,Marketing,EXP-2025-00438,2025-07-22,unpaid,2025-08-18
439,Cuisine Frais,13.98,Frais dieu,Droit aspect table l'un.,2025-07-22,2025-07-23,,travel,Maintenance,EXP-2025-00439,2025-07-23,paid,2025-09-03
440,Intérêt Achat,52.23,Note Wagner,Croiser agent pas aucun.,2025-07-22,2025-07-22,,food,Frais de représentation,EXP-2025-00440,2025-07-22,paid,2025-09-18
441,Malade Dépense,74.24,Note Saint Antoinette,,2025-07-22,2025-07-23,,professional,Frais bancaires,EXP-2025-00441,2025-07-23,paid,2025-08-26
442,Pourquoi Facture,53.19,Service pourquoi,Second engager si victime patron.,2025-07-22,2025-07-23,,subscription,Loyer,EXP-2025-00442,2025-08-06,paid,2025-07-27
443,Partir Frais,10.44,Service étonner,,2025-07-22,2025-07-24,,maintenance,Communication,EXP-2025-00443,2025-08-18,paid,2025-09-04
444,Devenir Achat,50.84,Service fine,Signer réflexion fou échapper.,2025-07-22,2025-07-22,,equipment,Services publics,EXP-2025-00444,2025-07-29,paid,2025-09-13
445,Ça Facture,19.23,Service indiquer,,2025-07-22,2025-07-23,,marketing,Transport,EXP-2025-00445,2025-07-23,unpaid,2025-09-09
446,Posséder Achat,93.29,Service fleur,Succès représenter voiture aucun.,2025-07-22,2025-07-22,,office,Déplacements,EXP-2025-00446,2025-08-08,unpaid,2025-09-09
447,Puis Achat,73.21,Achat morceau,Personne vers terminer poste.,2025-07-22,2025-07-23,,lodging,Services publics,EXP-2025-00447,2025-08-07,unpaid,2025-09-05
448,Endroit Achat,25.74,Frais un,,2025-07-22,2025-07-24,,food,Services publics,EXP-2025-00448,2025-07-29,paid,2025-08-18
449,Prétendre Frais,36.19,Frais phrase,Finir effacer attitude supérieur arrière année arrivée.,2025-07-22,2025-07-24,,professional,Frais de représentation,EXP-2025-00449,2025-07-24,unpaid,2025-08-31
450,Côté Facture,23.4,Note Samson-sur-Mer,,2025-07-22,2025-07-24,,equipment,Services publics,EXP-2025-00450,2025-07-24,unpaid,2025-07-23
451,Chant Achat,51.93,Remboursement Perez,Tout au espoir permettre.,2025-07-22,2025-07-22,,maintenance,Assurances,EXP-2025-00451,2025-07-22,unpaid,2025-09-14
452,Entendre Achat,117.23,Facture Fouquet Hervé SA,,2025-07-22,2025-07-22,,professional,Hébergement,EXP-2025-00452,2025-07-22,paid,2025-09-10
453,Village Achat,24.81,Frais désirer,,2025-07-22,2025-07-24,,research,Maintenance,EXP-2025-00453,2025-07-28,unpaid,2025-09-17
454,Voler Dépense,81.71,Frais croire,Amener exister choix fer.,2025-07-22,2025-07-23,,subscription,Matériel informatique,EXP-2025-00454,2025-07-23,paid,2025-09-08
455,Intéresser Facture,35.72,Note Fouquet,Aucun arrière terreur chaise magnifique.,2025-07-22,2025-07-24,,office,Marketing,EXP-2025-00455,2025-07-24,paid,2025-08-15
456,Monter Facture,28.95,Note GuillouVille,,2025-07-22,2025-07-24,,subscription,Maintenance,EXP-2025-00456,2025-07-24,paid,2025-09-11
457,Dame Frais,50.12,Note Sainte Maryse,Doucement bien cour chasser réflexion briser.,2025-07-22,2025-07-23,,maintenance,Hébergement,EXP-2025-00457,2025-08-07,paid,2025-08-05
458,Delà Achat,23.85,Frais éclat,,2025-07-22,2025-07-22,,research,Transport,EXP-2025-00458,2025-07-22,paid,2025-08-20
459,Lueur Frais,35.06,Achat jouer,,2025-07-22,2025-07-24,,professional,Hébergement,EXP-2025-00459,2025-07-24,paid,2025-08-03
460,Aventure Frais,20.94,Achat somme,Presser surtout battre.,2025-07-22,2025-07-24,,software,Fournitures bureau,EXP-2025-00460,2025-08-10,paid,2025-07-27
461,Nouveau Facture,262.9,Facture Moreno Ramos SARL,,2025-07-22,2025-07-24,,maintenance,Transport,EXP-2025-00461,2025-07-24,unpaid,2025-09-09
462,Donc Dépense,56.16,Remboursement Martins,,2025-07-22,2025-07-24,,office,Frais de représentation,EXP-2025-00462,2025-07-24,unpaid,2025-08-12
463,Subir Facture,31.19,Frais rêve,,2025-07-22,2025-07-24,,equipment,Abonnements,EXP-2025-00463,2025-08-14,unpaid,2025-08-26
464,Aussitôt Achat,64.79,Achat livre,Champ posséder moyen droite gauche suivre.,2025-07-22,2025-07-24,,office,Frais professionnels,EXP-2025-00464,2025-07-24,paid,2025-08-27
465,Battre Dépense,49.91,Remboursement Rocher,Esprit observer mériter semblable ni nouveau relever attendre.,2025-07-22,2025-07-22,,food,Formation,EXP-2025-00465,2025-07-22,unpaid,2025-08-17
466,Air Facture,45.75,Facture Salmon,As blanc seulement air.,2025-07-22,2025-07-24,,professional,R&D,EXP-2025-00466,2025-08-22,paid,2025-09-19
